E =  0.0V => Vbe =  -0.00000V, Vbc = -12.00000V, f(xmin) = 0.00000
E =  0.1V => Vbe =   0.10000V, Vbc = -11.90000V, f(xmin) = 0.00000
E =  0.2V => Vbe =   0.20000V, Vbc = -11.80000V, f(xmin) = 0.00000
E =  0.3V => Vbe =   0.29999V, Vbc = -11.69999V, f(xmin) = 0.00000
E =  0.4V => Vbe =   0.39952V, Vbc = -11.59953V, f(xmin) = 0.00000
E =  0.5V => Vbe =   0.48649V, Vbc = -11.48663V, f(xmin) = 0.00000
E =  0.6V => Vbe =   0.52947V, Vbc = -11.33017V, f(xmin) = 0.00000
E =  0.7V => Vbe =   0.54922V, Vbc = -11.15072V, f(xmin) = 0.00000
E =  0.8V => Vbe =   0.56118V, Vbc = -10.96354V, f(xmin) = 0.00000
E =  0.9V => Vbe =   0.56962V, Vbc = -10.77289V, f(xmin) = 0.00000
E =  1.0V => Vbe =   0.57610V, Vbc = -10.58030V, f(xmin) = 0.00000
E =  1.1V => Vbe =   0.58134V, Vbc = -10.38648V, f(xmin) = 0.00000
E =  1.2V => Vbe =   0.58574V, Vbc = -10.19182V, f(xmin) = 0.00000
E =  1.3V => Vbe =   0.58953V, Vbc =  -9.99656V, f(xmin) = 0.00000
E =  1.4V => Vbe =   0.59284V, Vbc =  -9.80083V, f(xmin) = 0.00000
E =  1.5V => Vbe =   0.59580V, Vbc =  -9.60475V, f(xmin) = 0.00000
E =  1.6V => Vbe =   0.59845V, Vbc =  -9.40837V, f(xmin) = 0.00000
E =  1.7V => Vbe =   0.60087V, Vbc =  -9.21175V, f(xmin) = 0.00000
E =  1.8V => Vbe =   0.60309V, Vbc =  -9.01494V, f(xmin) = 0.00000
E =  1.9V => Vbe =   0.60513V, Vbc =  -8.81795V, f(xmin) = 0.00000
E =  2.0V => Vbe =   0.60703V, Vbc =  -8.62082V, f(xmin) = 0.00000
E =  2.1V => Vbe =   0.60880V, Vbc =  -8.42357V, f(xmin) = 0.00000
E =  2.2V => Vbe =   0.61046V, Vbc =  -8.22620V, f(xmin) = 0.00000
E =  2.3V => Vbe =   0.61203V, Vbc =  -8.02874V, f(xmin) = 0.00000
E =  2.4V => Vbe =   0.61350V, Vbc =  -7.83119V, f(xmin) = 0.00000
E =  2.5V => Vbe =   0.61490V, Vbc =  -7.63356V, f(xmin) = 0.00000
E =  2.6V => Vbe =   0.61622V, Vbc =  -7.43586V, f(xmin) = 0.00000
E =  2.7V => Vbe =   0.61749V, Vbc =  -7.23811V, f(xmin) = 0.00000
E =  2.8V => Vbe =   0.61869V, Vbc =  -7.04029V, f(xmin) = 0.00000
E =  2.9V => Vbe =   0.61984V, Vbc =  -6.84242V, f(xmin) = 0.00000
E =  3.0V => Vbe =   0.62095V, Vbc =  -6.64450V, f(xmin) = 0.00000
E =  3.1V => Vbe =   0.62201V, Vbc =  -6.44654V, f(xmin) = 0.00000
E =  3.2V => Vbe =   0.62303V, Vbc =  -6.24854V, f(xmin) = 0.00000
E =  3.3V => Vbe =   0.62401V, Vbc =  -6.05050V, f(xmin) = 0.00000
E =  3.4V => Vbe =   0.62495V, Vbc =  -5.85243V, f(xmin) = 0.00000
E =  3.5V => Vbe =   0.62586V, Vbc =  -5.65432V, f(xmin) = 0.00000
E =  3.6V => Vbe =   0.62674V, Vbc =  -5.45618V, f(xmin) = 0.00000
E =  3.7V => Vbe =   0.62760V, Vbc =  -5.25802V, f(xmin) = 0.00000
E =  3.8V => Vbe =   0.62842V, Vbc =  -5.05983V, f(xmin) = 0.00000
E =  3.9V => Vbe =   0.62922V, Vbc =  -4.86161V, f(xmin) = 0.00000
E =  4.0V => Vbe =   0.63000V, Vbc =  -4.66337V, f(xmin) = 0.00000
E =  4.1V => Vbe =   0.63076V, Vbc =  -4.46510V, f(xmin) = 0.00000
E =  4.2V => Vbe =   0.63149V, Vbc =  -4.26682V, f(xmin) = 0.00000
E =  4.3V => Vbe =   0.63220V, Vbc =  -4.06852V, f(xmin) = 0.00000
